Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Ultra Twister (Nagashima Spa Land),Nagashima Spa Land,TOGO,Steel,1984,35.0285,136.7326,49,103,3,3.815092592592593,1989-01-01
La Vibora,Other,Intamin,Steel,1984,38.37574802043423,-41.59113754789273,32,103,0,3.815092592592593,1999-01-01
XLR-8,Six Flags AstroWorld,Arrow Dynamics,Steel,1984,29.6748,-95.4056,34,103,0,3.815092592592593,1984-05-12
The Bush Beast,Wonderland Sydney,Taft Broadcasting,Wood,1985,-33.8008,150.8512,55,90,0,3.815092592592593,1985-12-07
Disaster Transport,Cedar Point,Intamin,Steel,1985,41.4811,-82.6794,40,103,0,2.7,1985-01-01
Flashback (Six Flags Magic Mountain),Other,Intamin,Steel,1985,38.37574802043423,-41.59113754789273,35,103,0,3.0,1999-01-01
Freestyle (roller coaster),Other,TOGO,Steel,1985,38.37574802043423,-41.59113754789273,51,87,1,3.815092592592593,1999-01-01
Kikkerachtbaan,Duinrell,Zierer,Steel,1985,52.1466,4.379,22,26,0,3.815092592592593,1985-01-01
Klondike Gold Mine (roller coaster),Other,Pinfari,Steel,1985,38.37574802043423,-41.59113754789273,49,103,1,3.815092592592593,1999-01-01
Shaman (roller coaster),Gardaland,Vekoma,Steel,1985,45.4567,10.7072,43,103,4,3.815092592592593,1985-01-01
Mindbender (Galaxyland),Galaxyland,Anton Schwarzkopf,Steel,1985,53.5236,-113.6203,60,145,3,5.2,1985-12-20
Le Monstre,Other,Martin & Vleminckx,Wood,1985,45.525,-73.5333,59,103,0,3.815092592592593,1985-07-20
Phoenix (roller coaster),Knoebels Amusement Resort,Philadelphia Toboggan Coasters,Wood,1985,40.8783,-76.5064,45,103,0,3.815092592592593,1985-06-15
Steel First,Other,Allan Herschell Company,Steel,1985,38.37574802043423,-41.59113754789273,49,103,0,3.815092592592593,1985-01-01
Swiss Bob,Efteling,Intamin,Steel,1985,51.648,5.0474,37,103,0,3.815092592592593,1985-04-04
Texas Tornado (roller coaster),Wonderland Park (Texas),Hopkins Rides,Steel,1985,35.2437,-101.8321,49,103,2,3.815092592592593,1985-01-01
The Beastie (Wonderland Sydney),"Eastern Creek, New South Wales, New South Wales, Australia",Vekoma,Other,1985,-33.8012,150.8475,49,103,0,3.815092592592593,1999-01-01
Wild Mouse (Idlewild),Idlewild and Soak Zone,Vekoma,Steel,1985,40.2598,-79.2799,30,103,0,3.815092592592593,1985-01-01
Eureka Mountain Mine Ride,Dreamworld,HyFab,Steel,1986,-27.8626,153.3158,29,39,0,3.815092592592593,1986-12-11
The Grizzly,California's Great America,Kings Island,Wood,1986,37.393,-121.9714,55,103,0,3.815092592592593,1986-01-01
Shockwave (Kings Dominion),Kings Dominion,TOGO,Steel,1986,37.8386,-77.4447,50,103,1,3.815092592592593,1986-03-23
Silver Bullet (Frontier City),Other,Anton Schwarzkopf,Steel,1986,38.37574802043423,-41.59113754789273,47,103,1,3.815092592592593,1999-01-01
Ultra Twister (Six Flags),Other,TOGO,Steel,1986,38.37574802043423,-41.59113754789273,44,103,3,3.815092592592593,1999-01-01
The Bat (Canada's Wonderland),Other,Vekoma,Other,1987,43.8442,-79.5414,49,103,0,3.815092592592593,1999-01-01
Big Thunder Mountain Railroad (Tokyo Disneyland),Other,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",Steel,1987,38.37574802043423,-41.59113754789273,35,103,0,3.815092592592593,1999-01-01
Canobie Corkscrew,Canobie Lake Park,Arrow Development,Steel,1987,42.7935,-71.2499,45,103,2,3.815092592592593,1975-01-01
Dreamcatcher (roller coaster),Bobbejaanland,Vekoma,Steel,1987,51.1993,4.909,49,82,0,3.815092592592593,1987-01-01
Iron Dragon (roller coaster),Cedar Point,Arrow Dynamics,Steel,1987,41.4822,-82.6852,40,103,0,3.815092592592593,1987-06-11
